SprintIndex,SeasonID,RaceID,EventIndex,Team,Number,Color,DriverID,FullName,Abbreviation,LapNumber,LapNumberFlow,PaceDiff,PaceDiffTeammatesDelta,PaceDiffTeammateBest,PaceDiffTeammatesMean,PaceDiffClear
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,16.0,33,-0.078,-2.166,12.000,-1.161,0.248
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,17.0,34,0.159,-2.260,12.000,-0.971,0.159
0,2021,2021140,14,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,18.0,35,0.023,-1.944,12.000,-0.949,0.023
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,1.0,18,-,nan,nan,-,-
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,2.0,19,-,nan,nan,-,-
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,3.0,20,-,nan,nan,-,-
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,4.0,21,-,nan,nan,-,-
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,5.0,22,-1.548,-1.803,12.000,-0.647,-1.548
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,6.0,23,-1.586,-1.895,12.000,-0.639,-1.586
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,7.0,24,-1.440,-1.567,12.000,-0.656,-1.440
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,8.0,25,-1.786,-1.786,12.000,-0.893,-1.605
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,9.0,26,-1.619,-1.610,12.000,-0.814,-1.619
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,10.0,27,-1.375,-1.832,12.000,-0.459,-1.375
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,11.0,28,-1.387,-1.750,12.000,-0.512,-1.387
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,12.0,29,-1.247,-1.418,12.000,-0.538,-1.247
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,13.0,30,-1.979,-2.154,12.000,-0.902,-1.979
0,2021,2021140,14,Alfa Romeo Racing,88,#900000,21,Robert Kubica,KUB,14.0,31,-2.040,-2.140,12.000,-0.970,-2.040
