SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
0,2025,2025130,11.0,48,Mercedes,107.964,107.826,0.451,0.313,0.214,0.313,107.567,-0.138,35,0.099,14,0.382,0.2635,14
0,2025,2025130,12.0,49,Mercedes,107.851,108.061,0.298,0.508,0.298,0.508,107.553,0.21000000000000002,14,0.21000000000000002,14,0.403,0.403,14
0,2025,2025130,13.0,50,Mercedes,107.854,108.284,0.188,0.618,0.188,0.618,107.726,0.43,14,0.43,14,0.403,0.403,14
0,2025,2025130,14.0,51,Mercedes,107.931,108.679,0.146,0.894,0.146,0.894,107.864,0.748,14,0.748,14,0.52,0.52,14
0,2025,2025130,15.0,52,Mercedes,108.152,108.942,0.23,1.02,0.23,1.02,107.922,0.79,14,0.79,14,0.625,0.625,14
0,2025,2025190,1.0,53,Mercedes,,,,,,,,,,,,,,14
0,2025,2025190,2.0,54,Mercedes,,,,,,,,,,,,,,14
0,2025,2025190,3.0,55,Mercedes,,,,,,,,,,,,,,14
0,2025,2025190,4.0,56,Mercedes,,,,,,,,,,,,,,14
0,2025,2025190,5.0,57,Mercedes,,,,,,,,,,,,,,14
0,2025,2025190,6.0,58,Mercedes,,,,,,,,,,,,,,14
0,2025,2025190,7.0,59,Mercedes,96.556,99.077,-1.844,0.677,-1.844,0.677,98.4,2.521,14,2.521,14,-0.5835,-0.5835,14
0,2025,2025190,8.0,60,Mercedes,97.857,97.758,-0.555,-0.654,-0.555,-0.654,98.475,-0.09899999999999998,35,-0.09899999999999998,35,-0.6045,-0.6045,14
0,2025,2025190,9.0,61,Mercedes,97.932,98.616,-0.626,0.058,-0.626,0.058,98.977,0.684,14,0.684,14,-0.284,-0.284,14
0,2025,2025190,10.0,62,Mercedes,97.714,98.926,-0.923,0.289,-0.923,0.289,98.652,1.212,14,1.212,14,-0.31700000000000006,-0.31700000000000006,14
0,2025,2025190,11.0,63,Mercedes,98.188,99.131,-0.863,0.08,-0.863,0.08,99.132,0.943,14,0.943,14,-0.3915,-0.3915,14
0,2025,2025190,12.0,64,Mercedes,98.359,98.98,-0.825,-0.204,-0.825,-0.204,99.418,0.621,14,0.621,14,-0.5145,-0.5145,14
0,2025,2025190,13.0,65,Mercedes,97.864,98.819,-1.029,-0.074,-1.029,-0.074,98.893,0.955,14,0.955,14,-0.5515,-0.5515,14
0,2025,2025190,14.0,66,Mercedes,97.946,99.026,-0.9,0.18,-0.9,0.18,98.928,1.08,14,1.08,14,-0.36,-0.36,14
0,2025,2025190,15.0,67,Mercedes,97.761,99.17,-0.992,0.417,-0.992,0.417,98.753,1.409,14,1.409,14,-0.2875,-0.2875,14
0,2025,2025190,16.0,68,Mercedes,,,,,,,,,,,,,,14
0,2025,2025190,17.0,69,Mercedes,,,,,,,,,,,,,,14
0,2025,2025190,18.0,70,Mercedes,,,,,,,,,,,,,,14
0,2025,2025190,19.0,71,Mercedes,,,,,,,,,,,,,,14
0,2025,2025210,1.0,72,Mercedes,,,,,,,,,,,,,,14
0,2025,2025210,2.0,73,Mercedes,,,,,,,,,,,,,,14
0,2025,2025210,3.0,74,Mercedes,73.743,73.47,-0.777,-1.05,-0.777,-1.05,74.52,-0.273,35,-0.273,35,-0.9135,-0.9135,14
