SprintIndex,SeasonID,DriverID,FullName,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateDiscreteAvg,ConsistencyTeammateDiscreteAvg,PaceTeammateDiscreteAvg,StartTeammateDiscreteAvg,OvertakesTeammateDiscreteAvg,MistakesTeammateDiscreteAvg,QualiTeammateNormalizedAvg,ConsistencyTeammateNormalizedAvg,PaceTeammateNormalizedAvg,StartTeammateNormalizedAvg,OvertakesTeammateNormalizedAvg,MistakesTeammateNormalizedAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,ConsistencyAvg,OvertakesSum,OvertakesAvg,OvertakesGainAvg,OvertakesLostAvg,PaceAvg,StartSum,StartAvg,StartGainAvg,StartLostAvg
2,2021,9,Yuki Tsunoda,6.95,6.06,0.45,3.1578947368421053,1.5789473684210527,4.7368421052631575,4.2105263157894735,2.4,3.8921782667120466,4.488662869103619,4.492969796563772,4.867315435489782,4.837035591588581,5.187872613518822,5.07,5.18,6.54,0.316,13.0,0.6190476190476191,1.92,1.29,88.11038095238095,-13.0,-0.5909090909090909,0.68,1.27
2,2021,8,Carlos Sainz,7.86,5.90,4.09,3.9130434782608696,2.608695652173913,3.0434782608695654,5.652173913043478,4.4,4.71991344461633,5.173667386075812,4.777183929463284,4.103631634653042,5.058711625403499,5.468091864027914,6.76,5.66,7.17,0.272,20.0,0.8333333333333334,2.08,1.28,87.05433333333333,-10.0,-0.4166666666666667,0.71,1.12
2,2021,12,Antonio Giovinazzi,7.21,4.95,6.82,6.956521739130435,4.782608695652174,3.9130434782608696,5.652173913043478,5.6000000000000005,5.785538477458177,5.616160889667076,5.157846732429282,4.613934574304842,5.104490030098793,5.361178535648198,4.67,6.52,6.72,0.310,-15.0,-0.625,1.64,2.24,87.87991666666666,12.0,0.5,1.17,0.67
2,2021,14,George Russell,7.68,4.17,9.09,5.454545454545454,5.909090909090909,4.545454545454545,4.090909090909091,4.8,6.125097926046102,5.255151785335115,5.284927294521298,4.671029579201484,4.444234379152283,5.256173052715618,4.32,4.72,6.64,0.264,-29.0,-1.380952380952381,0.96,2.24,87.69295238095238,-18.0,-0.75,0.67,1.42
2,2021,13,Esteban Ocon,7.66,5.30,5.00,6.956521739130435,3.4782608695652173,5.652173913043478,5.652173913043478,6.0,5.0070152189444075,5.374574801706088,5.03304073696099,5.275417590699978,5.11670382255819,5.217774544778237,5.33,6.12,7.01,0.254,-8.0,-0.36363636363636365,1.16,1.48,87.50363636363636,6.0,0.2608695652173913,0.78,0.52
2,2021,19,Fernando Alonso,6.54,5.11,5.00,3.0434782608695654,6.521739130434783,4.3478260869565215,4.3478260869565215,3.5999999999999996,4.992984781055592,4.625425198293913,4.966959263039009,4.724582409300021,4.88329617744181,5.443867826733859,5.27,5.69,6.16,0.351,-16.0,-0.6666666666666666,1.40,2.04,87.67562500000001,-10.0,-0.4166666666666667,0.88,1.29
2,2021,15,Sebastian Vettel,7.23,5.72,6.36,4.583333333333333,5.833333333333334,5.0,5.833333333333334,4.583333333333333,5.329823396075072,4.953505657026531,5.108339514747361,4.793390409739242,4.808222441916207,4.836134806127031,5.48,6.42,6.84,0.304,-9.0,-0.391304347826087,2.00,2.38,87.75856521739131,7.0,0.30434782608695654,1.00,0.70
2,2021,16,Mick Schumacher,4.10,3.70,9.09,5.0,8.5,7.0,6.0,6.4,6.136345609165712,5.810865428703921,6.72718694879069,5.118752413315216,4.99928374979678,6.6318739315159645,2.37,6.37,4.40,0.401,-44.0,-2.0,0.36,2.12,88.64059090909092,-1.0,-0.043478260869565216,0.87,0.91
2,2021,18,Nicholas Latifi,6.69,4.78,0.91,4.545454545454545,4.090909090909091,5.454545454545454,5.909090909090909,4.8,3.8749020739538977,4.744848214664885,4.715072705478701,5.328970420798516,5.555765620847717,5.178609555980033,3.88,5.33,6.14,0.303,-20.0,-0.8695652173913043,1.04,1.84,88.27926086956522,-13.0,-0.5652173913043478,0.65,1.22
2,2021,20,Nikita Mazepin,3.15,4.01,0.91,5.0,1.5,3.0,4.0,3.2,3.8636543908342884,4.189134571296079,3.27281305120931,4.8812475866847835,5.000716250203219,4.480893976507085,1.06,5.82,3.72,0.499,-35.0,-1.75,0.42,1.88,88.67275,-2.0,-0.09090909090909091,0.59,0.68
2,2021,21,Robert Kubica,6.63,3.25,0.00,0.0,0.0,6.666666666666666,3.333333333333333,0.0,2.089669945541547,4.282627699488053,3.359082174742607,5.95873382185002,3.161318066978444,4.25893879906895,3.23,7.00,6.13,0.218,-7.0,-2.3333333333333335,0.67,3.00,84.11133333333333,0.0,0.0,0.33,0.33
