SeasonID,RaceID,DriverID,Color
2021,202119,12.0,#900000
2021,202119,9.0,#2B4562
2021,202119,18.0,#005AFF
2021,202119,20.0,#505050
2021,202119,16.0,#505050
2021,202119,7.0,#FF9800
2021,202119,10.0,#006F62
2021,202120,1.0,#00D2BE
2021,202120,2.0,#0600EF
2021,202120,19.0,#0090FF
2021,202120,5.0,#0600EF
2021,202120,13.0,#0090FF
2021,202120,10.0,#006F62
2021,202120,8.0,#DC0004
2021,202120,6.0,#DC0004
2021,202120,4.0,#FF9800
2021,202120,15.0,#006F62
2021,202120,17.0,#2B4562
2021,202120,7.0,#FF9800
2021,202120,9.0,#2B4562
2021,202120,11.0,#900000
2021,202120,12.0,#900000
2021,202120,16.0,#505050
2021,202120,14.0,#005AFF
2021,202120,20.0,#505050
2021,202120,18.0,#005AFF
2021,202120,3.0,#00D2BE
2021,202121,1.0,#00D2BE
2021,202121,2.0,#0600EF
2021,202121,3.0,#00D2BE
2021,202121,13.0,#0090FF
2021,202121,7.0,#FF9800
2021,202121,17.0,#2B4562
2021,202121,6.0,#DC0004
2021,202121,8.0,#DC0004
2021,202121,12.0,#900000
2021,202121,4.0,#FF9800
2021,202121,10.0,#006F62
2021,202121,18.0,#005AFF
2021,202121,19.0,#0090FF
2021,202121,9.0,#2B4562
2021,202121,11.0,#900000
2021,202121,15.0,#006F62
2021,202121,5.0,#0600EF
2021,202121,20.0,#505050
2021,202121,14.0,#005AFF
2021,202121,16.0,#505050
2022,202201,6.0,#ed1c24
2022,202201,8.0,#ed1c24
2022,202201,1.0,#6cd3bf
2022,202201,14.0,#6cd3bf
2022,202201,22.0,#b6babd
2022,202201,3.0,#b12039
2022,202201,13.0,#2293d1
2022,202201,9.0,#4e7c9b
2022,202201,19.0,#2293d1
2022,202201,23.0,#b12039
2022,202201,16.0,#b6babd
2022,202201,10.0,#2d826d
2022,202201,24.0,#37bedd
2022,202201,7.0,#f58020
2022,202201,4.0,#f58020
2022,202201,18.0,#37bedd
2022,202201,25.0,#2d826d
2022,202201,5.0,#1e5bc6
2022,202201,2.0,#1e5bc6
2022,202201,17.0,#4e7c9b
2022,202202,2.0,#1e5bc6
2022,202202,6.0,#ed1c24
2022,202202,8.0,#ed1c24
2022,202202,5.0,#1e5bc6
2022,202202,14.0,#6cd3bf
2022,202202,13.0,#2293d1
2022,202202,4.0,#f58020
2022,202202,17.0,#4e7c9b
2022,202202,22.0,#b6babd
2022,202202,1.0,#6cd3bf
2022,202202,23.0,#b12039
2022,202202,25.0,#2d826d
2022,202202,10.0,#2d826d
2022,202202,24.0,#37bedd
2022,202202,3.0,#b12039
2022,202202,19.0,#2293d1
2022,202202,7.0,#f58020
2022,202202,18.0,#37bedd
2022,202202,9.0,#4e7c9b
2022,202202,16.0,#111111
2022,202203,6.0,#ed1c24
2022,202203,5.0,#1e5bc6
2022,202203,14.0,#6cd3bf
2022,202203,1.0,#6cd3bf
