Number,Abbreviation,Laptime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TrackStatus,TyreLife,Position,RaceID,SafetyCarEnter,SafetyCarLeave,VirtualSafetyCarEnter,VirtualSafetyCarLeave,LaptimeDiff,LaptimeNaN,LaptimeMovingAverage,LaptimeClear,LaptimeClearPace,Pace,PaceMarker,PaceClearMarker,PaceDiff,PaceDiffClear,Consistency,ConsistencySign,ConsistencyClear,CompoundColor,LaptimeOutlier,TheOnlyValueInGroup,LaptimeMistake,MistakesLosses,PitLap,StintMeanLaptime,StintMeanConsistency,StintVerticalLine,StintLabel,LapsLeading,LaptimeSeriesActual,FullName,FirstName,LastName,Color,Overtakes
44,HAM,90.224,13.0,2.0,,,M,1,13,2,2021100,0,0,0,0,0.153,0,90.3,90.224,90.3,90.374,92.147,92.107,-1.883,-1.883,0.076,-0.076,0.076,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.574,14.0,2.0,,,M,1,14,2,2021100,0,0,0,0,0.350,0,90.399,90.574,90.399,90.374,92.061,92.033,-1.459,-1.459,0.175,0.175,0.175,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.583,15.0,2.0,,,M,1,15,2,2021100,0,0,0,0,0.009,0,90.578,90.583,90.578,90.374,92.067,92.016,-1.433,-1.433,0.005,0.005,0.005,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,90.126,16.0,2.0,,,M,1,16,2,2021100,0,0,0,0,0.457,0,90.354,90.126,90.354,90.374,91.921,91.888,-1.762,-1.762,0.228,-0.228,0.228,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
44,HAM,89.937,17.0,2.0,,,M,1,17,2,2021100,0,0,0,0,0.189,0,90.032,89.937,90.032,90.374,91.795,91.795,-1.858,-1.858,0.094,-0.094,0.094,#F0E628,0,0,0,,0,90.374,0.109,0,0,0,1,Lewis Hamilton,Lewis,Hamilton,#00D2BE,0.0
77,BOT,-,1.0,2.0,,,S,12,4,3,2021100,0,0,0,0,-,1,,-,-,90.673,,,-,-,-,,-,#CD3C3C,1,1,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,
77,BOT,-,2.0,2.0,,,S,1,5,3,2021100,0,0,0,0,-,1,,-,-,90.673,,,-,-,-,,-,#CD3C3C,1,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.548,3.0,2.0,,,S,1,6,3,2021100,0,0,0,0,-,0,,90.548,-,90.673,92.663,92.663,-2.115,-2.115,-,,-,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.879,4.0,2.0,,,S,1,7,3,2021100,0,0,0,0,0.331,0,90.714,90.879,90.714,90.673,92.536,92.499,-1.620,-1.620,0.165,0.165,0.165,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
77,BOT,90.943,5.0,2.0,,,S,1,8,3,2021100,0,0,0,0,0.064,0,90.911,90.943,90.911,90.673,93.492,92.535,-1.592,-1.592,0.032,0.032,0.032,#CD3C3C,0,0,0,,0,90.673,0.081,0,0,0,1,Valtteri Bottas,Valtteri,Bottas,#00D2BE,0.0
