SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
2,2025,2025031,45.0,177,Mercedes,91.625,91.307,-0.478,-0.796,-0.478,-0.796,92.393,-0.31800000000000006,35,-0.31800000000000006,35,-0.637,-0.637,14
2,2025,2025031,46.0,178,Mercedes,91.552,91.072,-0.494,-0.974,-0.494,-0.974,92.101,-0.48,35,-0.48,35,-0.734,-0.734,14
2,2025,2025031,47.0,179,Mercedes,91.598,91.238,-0.346,-0.706,-0.346,-0.836,91.997,-0.36,35,-0.49,35,-0.526,-0.591,14
2,2025,2025031,48.0,180,Mercedes,91.543,91.145,-0.366,-0.764,-0.366,-0.764,91.949,-0.398,35,-0.398,35,-0.565,-0.565,14
2,2025,2025031,49.0,181,Mercedes,91.609,91.154,-0.307,-0.762,-0.307,-0.762,92.037,-0.455,35,-0.455,35,-0.5345,-0.5345,14
2,2025,2025031,50.0,182,Mercedes,91.37,90.965,-0.526,-0.931,-0.526,-0.931,91.94,-0.405,35,-0.405,35,-0.7285,-0.7285,14
2,2025,2025031,51.0,183,Mercedes,91.357,91.053,-0.5,-0.804,-0.5,-0.804,91.857,-0.30400000000000005,35,-0.30400000000000005,35,-0.652,-0.652,14
2,2025,2025031,52.0,184,Mercedes,91.627,91.058,-0.242,-0.811,-0.475,-0.811,91.932,-0.5690000000000001,35,-0.3360000000000001,35,-0.5265,-0.643,14
2,2025,2025031,53.0,185,Mercedes,91.431,91.696,-0.64,-0.375,-0.64,-0.375,92.071,0.265,14,0.265,14,-0.5075000000000001,-0.5075000000000001,14
2,2025,2025041,1.0,186,Mercedes,,,,,,,,,,,,,,14
2,2025,2025041,2.0,187,Mercedes,,,,,,,,,,,,,,14
2,2025,2025041,3.0,188,Mercedes,98.286,98.427,-0.652,-0.511,-0.652,-0.511,98.938,0.14100000000000001,14,0.14100000000000001,14,-0.5815,-0.5815,14
2,2025,2025041,4.0,189,Mercedes,98.378,98.564,-0.546,-0.36,-0.546,-0.36,98.924,0.18600000000000005,14,0.18600000000000005,14,-0.453,-0.453,14
2,2025,2025041,5.0,190,Mercedes,98.604,98.52,-0.44,-0.524,-0.622,-0.524,99.334,-0.08400000000000002,35,0.09799999999999998,14,-0.482,-0.573,14
