SeasonID,DriverID,FullName,SprintIndex,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,ConsistencyAvg,OvertakesSum,OvertakesAvg,OvertakesGainAvg,OvertakesLostAvg,PaceAvg,StartSum,StartAvg,StartGainAvg,StartLostAvg,PaceStrAvg
2022,16.0,Mick Schumacher,0.0,5.08,6.76,nan,4.92,8.33,6.31,0.252,2.0,0.6666666666666666,1.33,0.67,76.194,5.0,1.6666666666666667,1.67,0.00,01:16.194
Все сезоны,16.0,Mick Schumacher,0.0,4.17,5.27,nan,3.14,7.19,5.20,0.277,-1.0,-0.3333333333333333,1.00,1.33,80.85133333333334,2.5,0.8333333333333334,1.00,0.17,01:20.851
2022,24.0,Alexander Albon,0.0,6.45,4.50,nan,3.66,4.58,5.49,0.217,-7.0,-2.3333333333333335,0.33,2.67,76.56766666666667,-4.0,-1.3333333333333333,0.67,2.00,01:16.568
2023,24.0,Alexander Albon,0.0,6.21,7.99,nan,5.05,4.47,6.22,0.386,8.0,1.3333333333333333,2.17,0.83,95.7505,1.0,0.16666666666666666,0.83,0.67,01:35.750
2024,24.0,Alexander Albon,0.0,6.84,8.51,5.00,3.29,5.49,6.92,0.219,11.0,1.8333333333333333,2.00,0.17,87.84016666666666,-4.0,-0.6666666666666666,0.50,1.17,01:27.840
Все сезоны,24.0,Alexander Albon,0.0,6.50,7.00,5.00,4.00,4.84,6.21,0.274,4.0,0.2777777777777777,1.50,1.22,86.71944444444445,-2.3333333333333335,-0.611111111111111,0.67,1.28,01:26.719
2022,22.0,Kevin Magnussen,0.0,4.28,3.16,nan,5.21,6.08,4.45,0.266,-12.0,-4.0,0.00,4.00,76.099,0.0,0.0,0.00,0.00,01:16.099
2023,22.0,Kevin Magnussen,0.0,6.15,5.63,nan,3.21,6.10,6.01,0.317,-6.0,-1.0,1.33,2.33,96.43416666666667,4.0,0.6666666666666666,1.00,0.33,01:36.434
2024,22.0,Kevin Magnussen,0.0,5.46,5.60,4.00,4.82,9.34,6.46,0.268,-11.0,-2.2,0.40,2.60,90.2674,14.0,2.8,2.80,0.00,01:30.267
Все сезоны,22.0,Kevin Magnussen,0.0,5.30,4.80,4.00,4.41,7.17,5.64,0.284,-9.666666666666666,-2.4,0.58,2.98,87.6001888888889,6.0,1.1555555555555554,1.27,0.11,01:27.600
2022,23.0,Guanyu Zhou,0.0,3.46,10.00,nan,4.90,5.24,5.54,0.273,9.0,4.5,4.50,0.00,73.79,-2.0,-1.0,0.00,1.00,01:13.790
2023,23.0,Guanyu Zhou,0.0,4.20,8.07,nan,2.88,2.65,4.78,0.458,7.0,1.1666666666666667,1.67,0.50,96.58533333333332,-9.0,-1.5,0.00,1.50,01:36.585
2024,23.0,Guanyu Zhou,0.0,4.41,5.64,1.67,1.89,6.96,5.36,0.297,-1.0,-0.16666666666666666,1.00,1.17,88.17399999999999,4.0,0.6666666666666666,0.83,0.17,01:28.174
Все сезоны,23.0,Guanyu Zhou,0.0,4.02,7.90,1.67,3.22,4.95,5.23,0.343,5.0,1.8333333333333333,2.39,0.56,86.1831111111111,-2.3333333333333335,-0.6111111111111112,0.28,0.89,01:26.183
2023,26.0,Nyck De Vries,0.0,3.16,8.50,nan,4.20,5.12,4.99,0.672,2.0,1.0,2.00,1.00,92.22550000000001,-2.0,-1.0,0.00,1.00,01:32.226
Все сезоны,26.0,Nyck De Vries,0.0,3.16,8.50,nan,4.20,5.12,4.99,0.672,2.0,1.0,2.00,1.00,92.22550000000001,-2.0,-1.0,0.00,1.00,01:32.226
2023,25.0,Nico Hulkenberg,0.0,4.35,5.03,nan,3.37,4.65,4.59,0.474,-10.0,-1.6666666666666667,1.00,2.67,96.49583333333334,-1.0,-0.16666666666666666,0.50,0.67,01:36.496
2024,25.0,Nico Hulkenberg,0.0,7.18,4.35,5.00,4.74,7.09,6.45,0.218,-12.0,-2.0,0.33,2.33,87.53916666666667,5.0,0.8333333333333334,1.50,0.67,01:27.539
