SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,13_Laptime,17_Laptime,32_Laptime,13_PaceDiff,17_PaceDiff,32_PaceDiff,13_PaceDiffClear,17_PaceDiffClear,32_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
1,2024,2024031,14.0,119,Alpine,83.119,84.104,,0.095,1.08,,0.095,1.08,,83.034,-,13.0,-,13,-,,-,
1,2024,2024031,15.0,120,Alpine,83.091,84.1,,-0.077,0.932,,-0.077,0.932,,83.258,-,13.0,-,13,-,,-,
1,2024,2024031,16.0,121,Alpine,,85.367,,,1.994,,,1.994,,83.373,-,-,-,,-,,-,
1,2024,2024031,17.0,122,Alpine,,,,,,,,,,,-,-,-,,-,,-,
1,2024,2024031,18.0,123,Alpine,82.587,,,-1.203,,,-1.203,,,83.79,-,-,-,,-,,-,
1,2024,2024031,19.0,124,Alpine,82.88,83.922,,0.228,1.27,,0.049,1.27,,82.663,-,13.0,-,13,-,,-,
1,2024,2024031,20.0,125,Alpine,82.814,83.662,,0.264,1.112,,0.264,1.112,,82.55,-,13.0,-,13,-,,-,
1,2024,2024031,21.0,126,Alpine,82.663,83.241,,0.126,0.704,,0.126,0.704,,82.647,-,13.0,-,13,-,,-,
1,2024,2024031,22.0,127,Alpine,82.803,83.045,,0.251,0.493,,0.251,0.493,,82.581,-,13.0,-,13,-,,-,
1,2024,2024031,23.0,128,Alpine,82.713,82.929,,0.188,0.404,,0.188,0.404,,82.59,-,13.0,-,13,-,,-,
1,2024,2024031,24.0,129,Alpine,82.759,83.001,,0.206,0.448,,0.206,0.448,,82.58,-,13.0,-,13,-,,-,
1,2024,2024031,25.0,130,Alpine,82.797,82.933,,0.195,0.331,,0.195,0.331,,82.609,-,13.0,-,13,-,,-,
1,2024,2024031,26.0,131,Alpine,82.892,83.015,,0.197,0.32,,0.197,0.32,,82.811,-,13.0,-,13,-,,-,
1,2024,2024031,27.0,132,Alpine,82.901,82.904,,0.17,0.173,,0.17,0.173,,82.785,-,13.0,-,13,-,,-,
1,2024,2024031,28.0,133,Alpine,83.108,82.674,,0.408,-0.026,,0.408,-0.026,,82.72,-,17.0,-,17,-,,-,
1,2024,2024031,29.0,134,Alpine,83.117,82.708,,0.514,0.105,,0.514,0.105,,82.709,-,17.0,-,17,-,,-,
1,2024,2024031,30.0,135,Alpine,83.04,82.99,,0.335,0.285,,0.335,0.285,,82.722,-,17.0,-,17,-,,-,
1,2024,2024031,31.0,136,Alpine,82.921,82.727,,0.29,0.096,,0.29,0.096,,82.653,-,17.0,-,17,-,,-,
1,2024,2024031,32.0,137,Alpine,82.909,83.245,,0.281,0.617,,0.281,0.343,,82.644,-,13.0,-,13,-,,-,
1,2024,2024031,33.0,138,Alpine,82.996,83.215,,0.351,0.57,,0.351,0.57,,82.645,-,13.0,-,13,-,,-,
1,2024,2024031,34.0,139,Alpine,85.483,83.036,,2.705,0.258,,0.339,0.258,,83.156,-,17.0,-,17,-,,-,
1,2024,2024031,35.0,140,Alpine,83.239,83.225,,0.479,0.465,,0.479,0.465,,83.013,-,17.0,-,17,-,,-,
1,2024,2024031,36.0,141,Alpine,84.94,82.84,,2.449,0.349,,0.546,0.349,,82.951,-,17.0,-,17,-,,-,
1,2024,2024031,37.0,142,Alpine,82.834,83.326,,0.654,1.146,,0.654,1.146,,82.193,-,13.0,-,13,-,,-,
1,2024,2024031,38.0,143,Alpine,83.627,85.109,,1.408,2.89,,0.551,0.952,,82.41,-,13.0,-,13,-,,-,
1,2024,2024031,39.0,144,Alpine,82.706,83.016,,0.685,0.995,,0.685,0.995,,82.021,-,13.0,-,13,-,,-,
1,2024,2024031,40.0,145,Alpine,82.989,85.02,,0.935,2.966,,0.935,2.966,,82.208,-,13.0,-,13,-,,-,
1,2024,2024031,41.0,146,Alpine,83.162,,,1.328,,,1.328,,,82.229,-,-,-,,-,,-,
1,2024,2024031,42.0,147,Alpine,,,,,,,,,,81.943,-,-,-,,-,,-,
1,2024,2024031,43.0,148,Alpine,,84.419,,,2.645,,,2.645,,81.877,-,-,-,,-,,-,
