SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,7_Laptime,9_Laptime,26_Laptime,29_Laptime,7_PaceDiff,9_PaceDiff,26_PaceDiff,29_PaceDiff,7_PaceDiffClear,9_PaceDiffClear,26_PaceDiffClear,29_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffTeammateMeanInt,PaceDiffClearTeammateMean,PaceDiffClearTeammateMeanInt
2,2023,2023021,39.0,96,Alpha Tauri,,94.353,95.769,,,0.223,1.639,,,0.223,1.639,,94.167,-,9.0,-,9,-,,-,
2,2023,2023021,40.0,97,Alpha Tauri,,94.373,95.091,,,0.262,0.98,,,0.262,0.98,,94.208,-,9.0,-,9,-,,-,
2,2023,2023021,41.0,98,Alpha Tauri,,94.316,95.319,,,0.218,1.221,,,0.218,1.221,,94.122,-,9.0,-,9,-,,-,
2,2023,2023021,42.0,99,Alpha Tauri,,94.056,94.968,,,0.059,0.971,,,0.059,0.971,,94.116,-,9.0,-,9,-,,-,
2,2023,2023021,43.0,100,Alpha Tauri,,93.989,94.22,,,0.054,0.285,,,0.054,0.285,,93.935,-,9.0,-,9,-,,-,
2,2023,2023021,44.0,101,Alpha Tauri,,94.189,94.036,,,0.301,0.148,,,0.301,0.148,,93.888,-,26.0,-,26,-,,-,
2,2023,2023021,45.0,102,Alpha Tauri,,94.599,94.126,,,0.686,0.213,,,0.686,0.213,,93.994,-,26.0,-,26,-,,-,
2,2023,2023021,46.0,103,Alpha Tauri,,97.002,94.135,,,3.12,0.253,,,0.559,0.253,,94.128,-,26.0,-,26,-,,-,
2,2023,2023021,47.0,104,Alpha Tauri,,94.282,94.183,,,0.397,0.298,,,0.397,0.298,,93.926,-,26.0,-,26,-,,-,
2,2023,2023021,48.0,105,Alpha Tauri,,94.125,94.199,,,0.256,0.33,,,0.256,0.33,,93.954,-,9.0,-,9,-,,-,
2,2023,2023021,49.0,106,Alpha Tauri,,94.117,93.609,,,0.362,-0.146,,,0.362,-0.146,,93.824,-,26.0,-,26,-,,-,
2,2023,2023021,50.0,107,Alpha Tauri,,93.931,93.925,,,0.05,0.044,,,0.05,0.044,,93.881,-,26.0,-,26,-,,-,
2,2023,2023031,1.0,108,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,2.0,109,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,3.0,110,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,4.0,111,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,5.0,112,Alpha Tauri,,84.62,85.025,,,0.367,0.772,,,0.367,0.772,,84.253,-,9.0,-,9,-,,-,
2,2023,2023031,6.0,113,Alpha Tauri,,84.11,84.18,,,0.478,0.548,,,0.478,0.548,,83.632,-,9.0,-,9,-,,-,
2,2023,2023031,7.0,114,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,8.0,115,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,9.0,116,Alpha Tauri,,,,,,,,,,,,,,-,-,-,,-,,-,
2,2023,2023031,10.0,117,Alpha Tauri,,90.664,94.287,,,-2.356,1.267,,,-2.356,1.267,,93.02,-,9.0,-,9,-,,-,
2,2023,2023031,11.0,118,Alpha Tauri,,84.878,85.891,,,-0.139,0.874,,,-0.139,0.874,,85.017,-,9.0,-,9,-,,-,
2,2023,2023031,12.0,119,Alpha Tauri,,84.596,84.118,,,0.933,0.455,,,0.933,0.455,,83.709,-,26.0,-,26,-,,-,
2,2023,2023031,13.0,120,Alpha Tauri,,83.629,83.579,,,0.219,0.169,,,0.219,0.169,,83.595,-,26.0,-,26,-,,-,
